id;name;description;phone_number
1;Yuan Renminbi Centers;2019-12-13;Usability South Dakota envisioneer
2;Intelligent;2019-12-12;infomediaries
3;Investment Account;2019-12-12;Salad
4;Digitized invoice;2019-12-13;Costa Rica Mayotte
5;Industrial;2019-12-12;Views e-enable Communications
6;National Awesome sky blue;2019-12-13;software scale interactive
7;Louisiana Specialist Home Loan Account;2019-12-13;scalable
8;Small;2019-12-12;index orange
9;Jewelery;2019-12-13;monitor 1080p Checking Account
10;world-class Frozen IB;2019-12-13;archive Fantastic Plastic Chicken
